cdNom;ENG;FRA;ESP;GER;ITA;POR;Alsacien;Basque;Breton;Corse;Occitan;Provençal
60345;Western Barbastelle Bat ;Barbastelle d’Europe ;Barbastela ;Mopsfledermaus ;Barbastello ;Morcego-negro ;;Baso-saguzar ;Barbastell Europa ;;Ratapenada morre-de-can;
79302;Northern Bat ;Sérotine de Nilsson ;Murciélago hortelano norteño ;Nordfledermaus ;Serotino di Nilsson ;Morcego-hortelão-nórdico ;;Iparraldeko saguzar ;Serotin Nilsson ;;;
60360;Serotine Bat ;Sérotine commune ;Murciélago hortelano ;Breitflügelfledermaus ;Serotino commune ;Morcego-hortelão-escuro ;;Baratze-saguzar ;Serotin boutin ;;Ratapenada serenca comuna;
60506;Savi’s Pipistrelle Bat ;Vespère de Savi ;Murciélago montañero ;Alpenzwergfledermaus ;Pipistrello di Savi ;Morcego de Savii ;;Savi saguzar ;Gousper Savi ;;Ratapenada montanhòla;
79305;Schreiber’s Bent-winged Bat ;Minioptère de Schreibers ;Murciélago de cueva ;Langflügelfledermaus ;Miniottero ;Morcego-de-peluche ;;Schreibers saguzar ;Miniopter Schreibers ;;Ratapenada d'ala ponchuda;
79299;Alcathoe Whiskered Bat ;Murin d’Alcathoe ;Murciélago ratonero bigotudo de Alcathoe ;Nymphenfledermaus ;Vespertilio di Alcatoe ;Morcego-de-bigodes de Alcathoe ;;Alcathoe saguzar bibotedun ;Gousperell Alkathoe ;;Ratapenada d'Alcathoe;
60439;Long-fingered Bat ;Murin de Capaccini ;Murciélago ratonero patudo ;Langfußfledermaus ;Vespertilio di Capaccini;Morcego de Capaccini;;Saguzar hatz-luze ;Gousperell Capaccini ;;;
60400;Geoffroy’s Bat ;Murin à oreilles échancrées ;Murciélago ratonero pardo ;Wimperfledermaus ;Vespertilio smarginato;Morcego-lanudo ;;Geoffroy saguzar ;Gousperell Geoffroy ;;Ratapenada d'aurelha escavada;
60411;Iberian Natterers Bat ;Murin d'Escalera ;Murciélago ratonero ibérico ;Iberische Fransenfledermaus ;Vespertilio di Escalera ;Morcego-de-franja do Sul ;;Cabrera saguzar ;Gousperell Escalera ;;;
60418;Greater Mouse-eared Bat ;Grand murin ;Murciélago ratonero grande ;Mausohr ;Vespertilio maggiore ;Morcego-rato-grande ;;Saguzar arratoi-belarri handi ;Gousperell skouarnek vras ;;Ratapenada bèla;
60383;Whiskered Bat ;Murin à moustaches ;Murciélago ratonero bigotudo ;Bartfledermaus ;Vespertilio mustacchino ;Morcego-de-bigodes ;;Saguzar bibotedun ;Gousperell varvek ;;Ratapenada mostachuda;
60408;Natterer’s Bat ;Murin de Natterer ;Murciélago ratonero de Natterer ;Fransenfledermaus ;Vespertilio di Natterer ;Morcego-de-franja do Norte ;;Natterer saguzar ;Gousperell Natterer ;;Ratapenada frangilhosa;
79301;Bechstein’s Bat ;Murin de Bechstein ;Murciélago ratonero forestal ;Bechsteinfledermaus ;Vespertilio di Bechstein ;Morcego de Bechstein ;;Bechstein saguzar ;Gousperell Bechstein ;;Ratapenada aurelhuda;
60427;Lesser Mouse-eared Bat ;Petit murin ;Murciélago ratonero mediano ;Kleines Mausohr ;Vespertilio minore ;Morcego-rato-pequeno ;;Saguzar arratoi-belarri ertain ;Gousperell skouarnek vihan ;;Ratapenada morre-ponchut;
79300;Brandt’s Bat ;Murin de Brandt ;Murciélago ratonero de Brandt ;Brandtfledermaus ;Vespertilio di Brandt ;Morcego de Brandt ;;Brandt saguzar ;Gousperell Brandt ;;Ratapenada de Brandt;
60447;Pond Bat ;Murin des marais ;Murciélago ratonero lagunero ;Teichfledermaus ;Vespertilio dasicneme ;Morcego-das-lagoas ;;Urmael-saguzar ;Gousperell ar geunioù ;;;
200118;Daubenton’s Bat ;Murin de Daubenton ;Murciélago ratonero ribereño ;Wasserfledermaus ;Vespertilio di Daubenton ;Morcego-de-água ;;Daubenton saguzar ;Gousperell Daubenton ;;Ratapenada ribairòla;
79298;Maghrebian Mouse-eared Bat ;Murin du Maghreb ;Murciélago ratonero moruno ;Punisches Mausohr ;Vespertilio maghrebino ;Morcego-rato do Magrebe ;;Saguzar arratoi-belarri mairutar ;Gousperell ar Magreb ;;;
60468;Noctule Bat ;Noctule commune ;Nóctulo mediano ;Abendsegler ;Nottola comune ;Morcego-arboricola-grande ;;Gau-saguzar arrunt ;Nozigell voutin ;;Ratapenada nuechola comuna;
60457;Greater Noctule Bat ;Grande noctule ;Nóctulo grande ;Riesenabendsegler ;Nottola gigante ;Morcego-arboricola-gigante ;;Gau-saguzar handi ;Nozigell vras ;;Ratapenada nuechola granda;
60461;Leisler’s Bat ;Noctule de Leisler ;Nóctulo pequeño ;Kleinabendsegler ;Nottola di Leisler ;Morcego-arboricola-pequeno ;;Leisler gau-saguzar ;Nozigell Leisler ;;Ratapenada nuechola pichona;
60490;Nathusius’s Pipistrelle Bat ;Pipistrelle de Nathusius ;Murciélago de Nathusius ;Rauhhautfledermaus ;Pipistrello di Nathusius ;Morcego de Nathusius ;;Nathusius pipistrelo ;Pipistrell Nathusius ;;Ratapenada de pèl rufa;
79303;Kuhl’s Pipistrelle Bat ;Pipistrelle de Kuhl ;Murciélago de borde claro ;Weißrandfledermaus ;Pipistrello albolimbato ;Morcego de Kuhl;;Kuhl pipistrelo ;Pipistrell Kuhl ;;Ratapenada orlada de blanc;
60479;Common Pipistrelle ;Pipistrelle commune ;Murciélago enano ;Zwergfledermaus ;Pipistrello nano ;Morcego-anão ;;Pipistrelo arrunt ;Pipistrell voutin ;;Ratapenada communa;
60489;Soprano Pipistrelle ;Pipistrelle pygmée ;Murciélago de Cabrera ;Mückenfledermaus ;Pipistrello pigmeo, Pipistrello soprano ;Morcego-pigmeu ;;Pipistrelo mediterraneo ;Pipistrell gorr ;;"Ratapenada ""pygmaeus""";
60518;Brown Long-eared Bat ;Oreillard roux ;Orejudo dorado ;Braunes Langohr ;Orecchione comune ;Morcego-orelhudo-castanho ;;Iparraldeko belarrihandi arre ;Skouarnegell rous ;;Aurelhard daurat;
60527;Grey Long-eared Bat ;Oreillard gris ;Orejudo gris ;Graues Langohr ;Orecchione meridionale ;Morcego-orelhudo-cinzento ;;Hegoaldeko belarrihandi gris ;Skouarnegell c’hris ;;Aurelhard gris;
163463;Alpine Long-eared Bat ;Oreillard montagnard ;Orejudo alpino ;Alpen-Langohr ;Orecchione alpino ;Morcego-orelhudo-alpino ;;Belarrihandi alpetar ;Skouarnegell ar menezioù ;;Aurelhard montanhòl;
60330;Mediterranean Horseshoe Bat ;Rhinolophe euryale ;Murciélago mediterráneo de herradura ;Mittelmeer-Hufeisennase ;Rinolofo mediterraneo, Rinolofo Eurìale ;Morcego-de-ferradura-mediterrânico ;;Ferra-saguzar mediterraneo ;Frigribell greizdouarel ;;Ratapenada mediterranèa de ferradura;
60337;Mehely’s Horseshoe Bat ;Rhinolophe de Mehély ;Murciélago mediano de herradura ;Mehely-Hufeisennase ;Rinolofo di Méhely ;Morcego-de-ferradura-mourisco ;;Mehelyi ferra-saguzar ;Frigribell Méhely ;;;
60295;GreaterHorseshoe Bat ;Grand rhinolophe ;Murciélago grande de herradura ;Große Hufeisennase ;Rinolofo maggiore ;Morcego-de-ferradura-grande ;;Ferra-saguzar handi;Frigribell vras ;;Ratapenada granda de ferradura;
60313;Lesser Horseshoe Bat ;Petit rhinolophe ;Murciélago pequeño de herradura ;Kleine Hufeisennase ;Rinolofo minore ;Morcego-de-ferradura-pequeno ;;Ferra-saguzar txiki ;Frigribell vihan ;;Ratapenada pichona de ferradura;
60557;European Free-tailed Bat ;Molosse de Cestoni ;Murciélago rabudo ;Europäische Bulldoggfledermaus ;Molosso del Cestoni ;Morcego-rabudo ;;Saguzar buztanluze europar ;Molos Cestoni ;;Ratapenada coetada;
60537;Parti-coloured Bat ;Sérotine bicolore ;Murciélago bicolor ;Zweifarbfledermaus ;Serotino bicolore ;Morcego-prateado ;;Saguzar kolore biko ;Serotin daouliv ;;Ratapenada serenca calhòla;
